time,host,service,reason,state,contact,information
2023-1-24T23:38,itpseg01core,Uso CPU,Service Problem,CRITICAL,eneko_guemes,CRITICAL - cpu 1 usage (5 min avg.) is 81.00%
2023-1-24T23:38,itpseg01core,Uso CPU,Service Problem,CRITICAL,luis_ortiz,CRITICAL - cpu 1 usage (5 min avg.) is 81.00%
2023-1-24T23:38,itpseg01core,Uso CPU,Service Problem,CRITICAL,sergio_baza,CRITICAL - cpu 1 usage (5 min avg.) is 81.00%
2023-1-24T23:38,itpseg01core,Uso CPU,Service Problem,CRITICAL,SATEC_Asier_pruebas,CRITICAL - cpu 1 usage (5 min avg.) is 81.00%
2023-1-24T23:38,itpseg01core,Uso CPU,Service Problem,CRITICAL,SATEC_Cuenta_Soporte,CRITICAL - cpu 1 usage (5 min avg.) is 81.00%
2023-1-24T23:23,itpseg01core,Uso CPU,Service Problem,CRITICAL,eneko_guemes,CRITICAL - cpu 1 usage (5 min avg.) is 81.00%
2023-1-24T23:23,itpseg01core,Uso CPU,Service Problem,CRITICAL,luis_ortiz,CRITICAL - cpu 1 usage (5 min avg.) is 81.00%
2023-1-24T23:23,itpseg01core,Uso CPU,Service Problem,CRITICAL,sergio_baza,CRITICAL - cpu 1 usage (5 min avg.) is 81.00%
2023-1-24T23:23,itpseg01core,Uso CPU,Service Problem,CRITICAL,SATEC_Asier_pruebas,CRITICAL - cpu 1 usage (5 min avg.) is 81.00%
2023-1-24T23:23,itpseg01core,Uso CPU,Service Problem,CRITICAL,SATEC_Cuenta_Soporte,CRITICAL - cpu 1 usage (5 min avg.) is 81.00%
2023-1-24T23:06,DSIP013SPSB,CPU Load FRONTAL_WEB,Service Recovery,OK,SATEC_Asier_pruebas,OK: 1m: 75%
2023-1-24T23:06,DSIP013SPSB,CPU Load FRONTAL_WEB,Service Recovery,OK,SATEC_Cuenta_Soporte,OK: 1m: 75%
2023-1-24T23:06,DSIP013SPSB,CPU Load FRONTAL_WEB,Service Recovery,OK,eva_nalda,OK: 1m: 75%
2023-1-24T23:06,DSIP013SPSB,CPU Load FRONTAL_WEB,Service Recovery,OK,vicente_de_blas,OK: 1m: 75%
2023-1-24T22:57,DSIP013SPSB,CPU Load FRONTAL_WEB,Service Problem,CRITICAL,SATEC_Asier_pruebas,CRITICAL: critical(1m: 98%)
2023-1-24T22:57,DSIP013SPSB,CPU Load FRONTAL_WEB,Service Problem,CRITICAL,SATEC_Cuenta_Soporte,CRITICAL: critical(1m: 98%)
2023-1-24T22:57,DSIP013SPSB,CPU Load FRONTAL_WEB,Service Problem,CRITICAL,eva_nalda,CRITICAL: critical(1m: 98%)
2023-1-24T22:57,DSIP013SPSB,CPU Load FRONTAL_WEB,Service Problem,CRITICAL,vicente_de_blas,CRITICAL: critical(1m: 98%)
2023-1-24T22:52,DSIP013SPSB,CPU Load FRONTAL_WEB,Service Recovery,OK,vicente_de_blas,OK: 1m: 72%
2023-1-24T22:52,DSIP013SPSB,CPU Load FRONTAL_WEB,Service Recovery,OK,eva_nalda,OK: 1m: 72%
2023-1-24T22:52,DSIP013SPSB,CPU Load FRONTAL_WEB,Service Recovery,OK,SATEC_Cuenta_Soporte,OK: 1m: 72%
2023-1-24T22:52,DSIP013SPSB,CPU Load FRONTAL_WEB,Service Recovery,OK,SATEC_Asier_pruebas,OK: 1m: 72%
2023-1-24T22:49,DSIP013SPSB,CPU Load FRONTAL_WEB,Service Problem,CRITICAL,vicente_de_blas,CRITICAL: critical(1m: 98%)
2023-1-24T22:49,DSIP013SPSB,CPU Load FRONTAL_WEB,Service Problem,CRITICAL,eva_nalda,CRITICAL: critical(1m: 98%)
2023-1-24T22:49,DSIP013SPSB,CPU Load FRONTAL_WEB,Service Problem,CRITICAL,SATEC_Cuenta_Soporte,CRITICAL: critical(1m: 98%)
2023-1-24T22:49,DSIP013SPSB,CPU Load FRONTAL_WEB,Service Problem,CRITICAL,SATEC_Asier_pruebas,CRITICAL: critical(1m: 98%)
